date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:37:37	129285/129285	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:37:39%20GMT	https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/lcf2qvr8lfj.typeform.com/to/z33bdBCq7b68.html	(from )
03:37:38	112/112	---MCZ	200	added ('OK')	text/plain	etag:W/%2261554670-86%22	https://lcf2qvr8lfj.typeform.com/robots.txt		(from )
03:37:38	1607/1607	---M--	200	added ('OK')	image/png	etag:%228c854f42ba5b33ffc8e390a2e88552fc%22	https://public-assets.typeform.com/public/favicon/apple-touch-icon.png	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/public-assets.typeform.com/public/favicon/apple-touch-icon.png	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:38	1069/1069	---M--	200	added ('OK')	image/png	etag:%224a35a27936c43081f0865e2e603df15d%22	https://public-assets.typeform.com/public/favicon/favicon-32x32.png	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/public-assets.typeform.com/public/favicon/favicon-32x32.png	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:39	692/692	---M--	200	added ('OK')	image/png	etag:%220fc17cc47ca2d76b7bcaee392b6431d0%22	https://public-assets.typeform.com/public/favicon/favicon-16x16.png	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/public-assets.typeform.com/public/favicon/favicon-16x16.png	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:39	129245/129245	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:37:41%20GMT	https://lcf2qvr8lfj.typeform.com/to/z33bdBCq	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/lcf2qvr8lfj.typeform.com/to/z33bdBCq.html	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:39	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2030%20Sep%202021%2007:37:41%20GMT	https://lcf2qvr8lfj.typeform.com/cdn-cgi/bm/cv/669835187/api.js	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/lcf2qvr8lfj.typeform.com/cdn-cgi/bm/cv/669835187/api.js	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:39	240864/240864	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221a570102b33ed6e4cf537f488a958790%22	https://renderer-assets.typeform.com/form.74a1f39ae4dfb44ef057.js	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/renderer-assets.typeform.com/form.74a1f39ae4dfb44ef057.js	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:40	338/338	---MC-	302	error ('Found')	text/html	date:Thu,%2030%20Sep%202021%2007:37:41%20GMT	https://lcf2qvr8lfj.typeform.com/to/Trident/	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/lcf2qvr8lfj.typeform.com/to/Trident/index.html	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:40	643223/643223	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e1b8484bf5f6d659a244fcbe972fa9ef%22	https://renderer-assets.typeform.com/phonenumber.f01c6d5c70747f5bb7ea.js	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/renderer-assets.typeform.com/phonenumber.f01c6d5c70747f5bb7ea.js	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
03:37:41	569520/569520	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f79feb30b0536e4784c82e0568fad67f%22	https://renderer-assets.typeform.com/renderer.453fbbb53cf1c8f7cfee.js	C:/Users/bryan/Downloads/https___lcf2qvr8lfj.typeform.com_to_z33bdBCq_typeform-source=www.aesthetic.com/renderer-assets.typeform.com/renderer.453fbbb53cf1c8f7cfee.js	(from https://lcf2qvr8lfj.typeform.com/to/z33bdBCq?typeform-source=www.aesthetic.com)
